Borough Code,DOT street name,CSCL street name,PHYSICALID
1,1 avenue,1 ave,2696.0
1,1 avenue,1 ave,140711.0
1,1 avenue,1 ave,2607.0
1,1 avenue,1 ave,2679.0
1,1 avenue,1 ave,2664.0
1,1 avenue,1 ave,2660.0
1,1 avenue,1 ave,2601.0
1,1 avenue,1 ave,2681.0
1,1 avenue,1 ave,2587.0
1,1 avenue,1 ave,191042.0
1,1 avenue,1 ave,200591.0
1,1 avenue,1 ave,2710.0
1,1 avenue,1 ave,140722.0
1,1 avenue,1 ave,2612.0
1,1 avenue,1 ave,2671.0
1,1 avenue,1 ave,2693.0
1,1 avenue,1 ave,2663.0
1,1 avenue,1 ave,2639.0
1,1 avenue,1 ave,2656.0
1,1 avenue,1 ave,2719.0
1,1 avenue,1 ave,2611.0
1,1 avenue,1 ave,2670.0
1,1 avenue,1 ave,2658.0
1,1 avenue,1 ave,2705.0
1,1 avenue,1 ave,2686.0
1,1 avenue,1 ave,140715.0
1,1 avenue,1 ave,140728.0
1,1 avenue,1 ave,166386.0
1,1 avenue,1 ave,2725.0
1,1 avenue,1 ave,2613.0
1,1 avenue,1 ave,2695.0
1,1 avenue,1 ave,192423.0
1,1 avenue,1 ave,2589.0
1,1 avenue,1 ave,140710.0
1,1 avenue,1 ave,140723.0
1,1 avenue,1 ave,2637.0
1,1 avenue,1 ave,2717.0
1,1 avenue,1 ave,2669.0
1,1 avenue,1 ave,113650.0
1,1 avenue,1 ave,2674.0
1,1 avenue,1 ave,2727.0
1,1 avenue,1 ave,198801.0
1,1 avenue,1 ave,192427.0
1,1 avenue,1 ave,2574.0
1,1 avenue,1 ave,2690.0
1,1 avenue,1 ave,2714.0
1,1 avenue,1 ave,2715.0
1,1 avenue,1 ave,2665.0
1,1 avenue,1 ave,132719.0
1,1 avenue,1 ave,2667.0
1,1 avenue,1 ave,2676.0
1,1 avenue,1 ave,2722.0
1,1 avenue,1 ave,192428.0
1,1 avenue,1 ave,67870.0
1,1 avenue,1 ave,2706.0
1,1 avenue,1 ave,116292.0
1,1 avenue,1 ave,2723.0
1,1 avenue,1 ave,190756.0
1,1 avenue,1 ave,2728.0
1,1 avenue,1 ave,2651.0
1,1 avenue,1 ave,2593.0
1,1 avenue,1 ave,2590.0
1,1 avenue,1 ave,2583.0
1,1 avenue,1 ave,198795.0
1,1 avenue,1 ave,2701.0
1,1 avenue,1 ave,2619.0
1,1 avenue,1 ave,2640.0
1,1 avenue,1 ave,2577.0
1,1 avenue,1 ave,2616.0
1,1 avenue,1 ave,2591.0
1,1 avenue,1 ave,2716.0
1,1 avenue,1 ave,2689.0
1,1 avenue,1 ave,2712.0
1,1 avenue,1 ave,2684.0
1,1 avenue,1 ave,192418.0
1,1 avenue,1 ave,2680.0
1,1 avenue,1 ave,2699.0
1,1 avenue,1 ave,2668.0
1,1 avenue,1 ave,2652.0
1,1 avenue,1 ave,2585.0
1,1 avenue,1 ave,183038.0
1,1 avenue,1 ave,168245.0
1,1 avenue,1 ave,2620.0
1,1 avenue,1 ave,2691.0
1,1 avenue,1 ave,2726.0
1,1 avenue,1 ave,2702.0
1,1 avenue,1 ave,2636.0
1,1 avenue,1 ave,2708.0
1,1 avenue,1 ave,2675.0
1,1 avenue,1 ave,2618.0
1,1 avenue,1 ave,2606.0
1,1 avenue,1 ave,132763.0
1,1 avenue,1 ave,2621.0
1,1 avenue,1 ave,2580.0
1,1 avenue,1 ave,2734.0
1,1 avenue,1 ave,2721.0
1,1 avenue,1 ave,140725.0
1,1 avenue,1 ave,2630.0
1,1 avenue,1 ave,2626.0
1,1 avenue,1 ave,2614.0
1,1 avenue,1 ave,67869.0
1,1 avenue,1 ave,2605.0
1,1 avenue,1 ave,2666.0
1,1 avenue,1 ave,2729.0
1,1 avenue,1 ave,198796.0
1,1 avenue,1 ave,2625.0
1,1 avenue,1 ave,2661.0
1,1 avenue,1 ave,2653.0
1,1 avenue,1 ave,2697.0
1,1 avenue,1 ave,2698.0
1,1 avenue,1 ave,2683.0
1,1 avenue,1 ave,2582.0
1,1 avenue,1 ave,2659.0
1,1 avenue,1 ave,2711.0
1,1 avenue,1 ave,2682.0
1,1 avenue,1 ave,2599.0
1,1 avenue,1 ave,168244.0
1,1 avenue,1 ave,2713.0
1,1 avenue,1 ave,77453.0
1,1 avenue,1 ave,140717.0
1,1 avenue,1 ave,2588.0
1,1 avenue,1 ave,2594.0
1,1 avenue,1 ave,165404.0
1,1 avenue,1 ave,2657.0
1,1 avenue,1 ave,2724.0
1,1 avenue,1 ave,2596.0
1,1 avenue,1 ave,2687.0
1,1 avenue,1 ave,2694.0
1,1 avenue,1 ave,2678.0
1,1 avenue,1 ave,2592.0
1,1 avenue,1 ave,2700.0
1,1 avenue,1 ave,2598.0
1,1 avenue,1 ave,201982.0
1,1 avenue,1 ave,2608.0
1,1 avenue,1 ave,166389.0
1,1 avenue,1 ave,198794.0
1,1 avenue,1 ave,2600.0
1,1 avenue,1 ave,187770.0
1,1 avenue,1 ave,201981.0
1,1 avenue,1 ave,2685.0
1,1 avenue,1 ave,2609.0
1,1 avenue,1 ave,2604.0
1,1 avenue,1 ave,2677.0
1,1 avenue,1 ave,140714.0
1,1 avenue,1 ave,192429.0
1,1 avenue,1 ave,187947.0
1,1 avenue,1 ave,201755.0
1,1 avenue,1 ave,132768.0
1,1 avenue,1 ave,2707.0
1,1 avenue,1 ave,190197.0
1,1 avenue,1 ave,2631.0
1,1 avenue,1 ave,77454.0
1,1 avenue,1 ave,192426.0
1,1 avenue,1 ave,2662.0
1,1 avenue,1 ave,2644.0
1,1 avenue,1 ave,200590.0
1,1 avenue,1 ave,198772.0
