physical_id,snap_hour,coverage
3,2018-01-04 20:00:00,0.75
3,2018-01-04 21:00:00,0.75
3,2018-01-04 22:00:00,0.25
3,2018-01-04 23:00:00,0.5
5,2018-01-04 20:00:00,0.75
5,2018-01-04 21:00:00,1.0
5,2018-01-04 22:00:00,0.25
5,2018-01-04 23:00:00,0.5
6,2018-01-04 20:00:00,0.5
6,2018-01-04 21:00:00,0.75
6,2018-01-04 22:00:00,0.25
6,2018-01-04 23:00:00,0.5
8,2018-01-04 20:00:00,0.75
8,2018-01-04 21:00:00,0.75
8,2018-01-04 22:00:00,0.25
8,2018-01-04 23:00:00,0.5
14,2018-01-04 20:00:00,0.75
14,2018-01-04 21:00:00,0.75
14,2018-01-04 22:00:00,0.5
14,2018-01-04 23:00:00,0.5
23,2018-01-04 20:00:00,0.75
23,2018-01-04 21:00:00,0.5
23,2018-01-04 22:00:00,0.25
23,2018-01-04 23:00:00,0.5
24,2018-01-04 20:00:00,0.75
24,2018-01-04 21:00:00,0.75
24,2018-01-04 22:00:00,0.25
24,2018-01-04 23:00:00,0.5
25,2018-01-04 20:00:00,0.5
25,2018-01-04 21:00:00,0.75
25,2018-01-04 22:00:00,0.25
25,2018-01-04 23:00:00,0.5
29,2018-01-04 20:00:00,0.5
29,2018-01-04 21:00:00,0.25
29,2018-01-04 22:00:00,0.25
29,2018-01-04 23:00:00,0.5
33,2018-01-04 20:00:00,0.0
33,2018-01-04 21:00:00,0.0
33,2018-01-04 22:00:00,0.0
33,2018-01-04 23:00:00,0.0
34,2018-01-04 20:00:00,0.0
34,2018-01-04 21:00:00,0.0
34,2018-01-04 22:00:00,0.0
34,2018-01-04 23:00:00,0.0
36,2018-01-04 19:00:00,0.0
36,2018-01-04 20:00:00,0.0
36,2018-01-04 21:00:00,0.0
36,2018-01-04 22:00:00,0.0
36,2018-01-04 23:00:00,0.0
37,2018-01-04 19:00:00,0.0
37,2018-01-04 20:00:00,0.0
37,2018-01-04 21:00:00,0.0
37,2018-01-04 22:00:00,0.0
37,2018-01-04 23:00:00,0.0
40,2018-01-04 20:00:00,0.0
40,2018-01-04 21:00:00,0.0
40,2018-01-04 22:00:00,0.0
40,2018-01-04 23:00:00,0.0
41,2018-01-04 20:00:00,0.0
41,2018-01-04 21:00:00,0.0
41,2018-01-04 22:00:00,0.0
41,2018-01-04 23:00:00,0.0
43,2018-01-04 20:00:00,0.0
43,2018-01-04 21:00:00,0.0
43,2018-01-04 22:00:00,0.0
43,2018-01-04 23:00:00,0.0
44,2018-01-04 19:00:00,0.0
44,2018-01-04 20:00:00,0.0
44,2018-01-04 21:00:00,0.0
44,2018-01-04 22:00:00,0.0
44,2018-01-04 23:00:00,0.0
45,2018-01-04 20:00:00,0.5
45,2018-01-04 21:00:00,0.25
45,2018-01-04 22:00:00,0.5
45,2018-01-04 23:00:00,0.5
46,2018-01-04 20:00:00,0.25
46,2018-01-04 21:00:00,0.5
46,2018-01-04 22:00:00,0.75
46,2018-01-04 23:00:00,0.5
47,2018-01-04 20:00:00,0.5
47,2018-01-04 21:00:00,0.25
47,2018-01-04 22:00:00,0.75
47,2018-01-04 23:00:00,1.0
48,2018-01-04 20:00:00,0.75
48,2018-01-04 21:00:00,0.75
48,2018-01-04 22:00:00,1.0
48,2018-01-04 23:00:00,1.0
49,2018-01-04 20:00:00,0.25
49,2018-01-04 21:00:00,0.5
49,2018-01-04 22:00:00,0.5
49,2018-01-04 23:00:00,0.5
50,2018-01-04 20:00:00,0.25
50,2018-01-04 21:00:00,0.5
50,2018-01-04 22:00:00,0.75
50,2018-01-04 23:00:00,0.5
51,2018-01-04 20:00:00,0.25
51,2018-01-04 21:00:00,0.25
51,2018-01-04 22:00:00,0.5
51,2018-01-04 23:00:00,0.5
52,2018-01-04 20:00:00,0.25
52,2018-01-04 21:00:00,0.25
52,2018-01-04 22:00:00,0.5
52,2018-01-04 23:00:00,0.5
53,2018-01-04 20:00:00,0.25
53,2018-01-04 21:00:00,0.25
53,2018-01-04 22:00:00,0.25
53,2018-01-04 23:00:00,0.5
56,2018-01-04 20:00:00,0.75
56,2018-01-04 21:00:00,0.75
56,2018-01-04 22:00:00,0.25
56,2018-01-04 23:00:00,0.5
57,2018-01-04 20:00:00,0.25
57,2018-01-04 21:00:00,0.5
57,2018-01-04 22:00:00,0.25
57,2018-01-04 23:00:00,0.5
58,2018-01-04 20:00:00,0.25
58,2018-01-04 21:00:00,0.5
58,2018-01-04 22:00:00,0.25
58,2018-01-04 23:00:00,0.5
59,2018-01-04 20:00:00,0.75
59,2018-01-04 21:00:00,0.25
59,2018-01-04 22:00:00,0.25
59,2018-01-04 23:00:00,0.5
60,2018-01-04 20:00:00,0.25
60,2018-01-04 21:00:00,0.5
60,2018-01-04 22:00:00,0.25
60,2018-01-04 23:00:00,0.5
61,2018-01-04 20:00:00,0.75
61,2018-01-04 21:00:00,0.25
61,2018-01-04 22:00:00,0.25
61,2018-01-04 23:00:00,1.0
62,2018-01-04 20:00:00,0.5
62,2018-01-04 21:00:00,0.25
62,2018-01-04 22:00:00,0.5
62,2018-01-04 23:00:00,1.0
64,2018-01-04 20:00:00,0.25
64,2018-01-04 21:00:00,0.25
64,2018-01-04 22:00:00,0.25
64,2018-01-04 23:00:00,0.5
66,2018-01-04 20:00:00,0.75
66,2018-01-04 21:00:00,0.5
66,2018-01-04 22:00:00,0.5
66,2018-01-04 23:00:00,0.5
67,2018-01-04 20:00:00,0.5
67,2018-01-04 21:00:00,0.5
67,2018-01-04 22:00:00,0.25
67,2018-01-04 23:00:00,0.5
68,2018-01-04 20:00:00,0.5
68,2018-01-04 21:00:00,0.25
68,2018-01-04 22:00:00,0.5
68,2018-01-04 23:00:00,1.0
69,2018-01-04 20:00:00,0.75
69,2018-01-04 21:00:00,0.25
69,2018-01-04 22:00:00,0.5
69,2018-01-04 23:00:00,0.5
70,2018-01-04 20:00:00,0.25
70,2018-01-04 21:00:00,0.25
70,2018-01-04 22:00:00,0.25
70,2018-01-04 23:00:00,0.5
71,2018-01-04 20:00:00,0.5
71,2018-01-04 21:00:00,0.25
71,2018-01-04 22:00:00,0.5
71,2018-01-04 23:00:00,0.5
72,2018-01-04 20:00:00,0.25
72,2018-01-04 21:00:00,0.25
72,2018-01-04 22:00:00,0.25
72,2018-01-04 23:00:00,0.5
73,2018-01-04 20:00:00,0.75
73,2018-01-04 21:00:00,0.75
73,2018-01-04 22:00:00,0.25
73,2018-01-04 23:00:00,0.5
74,2018-01-04 20:00:00,0.75
74,2018-01-04 21:00:00,0.5
74,2018-01-04 22:00:00,0.5
74,2018-01-04 23:00:00,0.5
75,2018-01-04 20:00:00,0.75
75,2018-01-04 21:00:00,0.5
75,2018-01-04 22:00:00,0.5
75,2018-01-04 23:00:00,0.5
76,2018-01-04 20:00:00,0.75
76,2018-01-04 21:00:00,0.75
76,2018-01-04 22:00:00,0.75
76,2018-01-04 23:00:00,0.5
77,2018-01-04 20:00:00,0.75
77,2018-01-04 21:00:00,0.75
77,2018-01-04 22:00:00,0.5
77,2018-01-04 23:00:00,0.5
78,2018-01-04 20:00:00,0.5
78,2018-01-04 21:00:00,0.5
78,2018-01-04 22:00:00,0.25
78,2018-01-04 23:00:00,0.5
79,2018-01-04 20:00:00,0.75
79,2018-01-04 21:00:00,0.75
79,2018-01-04 22:00:00,0.25
79,2018-01-04 23:00:00,0.5
80,2018-01-04 20:00:00,0.75
80,2018-01-04 21:00:00,0.75
80,2018-01-04 22:00:00,0.25
80,2018-01-04 23:00:00,0.5
81,2018-01-04 20:00:00,0.25
81,2018-01-04 21:00:00,0.25
81,2018-01-04 22:00:00,0.25
81,2018-01-04 23:00:00,0.5
82,2018-01-04 20:00:00,0.25
82,2018-01-04 21:00:00,0.25
82,2018-01-04 22:00:00,0.25
82,2018-01-04 23:00:00,0.5
83,2018-01-04 20:00:00,0.25
83,2018-01-04 21:00:00,0.25
83,2018-01-04 22:00:00,0.5
83,2018-01-04 23:00:00,0.5
84,2018-01-04 20:00:00,0.5
84,2018-01-04 21:00:00,0.5
84,2018-01-04 22:00:00,0.25
84,2018-01-04 23:00:00,1.0
85,2018-01-04 20:00:00,0.25
85,2018-01-04 21:00:00,0.25
85,2018-01-04 22:00:00,0.25
85,2018-01-04 23:00:00,0.5
86,2018-01-04 20:00:00,0.75
86,2018-01-04 21:00:00,0.5
