the_geom,SEGMENTID,OFT,ONSTREETNAME,FROMSTREETNAME,TOSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,UNIQUEID,PURPOSE
"MULTILINESTRING ((-74.24103859903097 40.51465778630875, -74.23891813649583 40.51244824337837))",383,519750515650525030,BREHAUT AVENUE,AMBOY ROAD,CRAIG AVENUE,S,09/14/2025 12:00:00 AM,10/14/2025 12:00:00 AM,e306e83596f84446dd1954bad95389d4c4e8b977a2a2a90dbf89e43b438aa27a,TRIBUTARY INSTALL - GAS - PROTECTED
"MULTILINESTRING ((-74.16402594723515 40.59411239467196, -74.16439050510944 40.593482461204054))",4932,529362548157551735,FREEDOM AVENUE,SLEEPY HOLLOW ROAD,TRAVIS AVENUE,S,09/11/2025 12:00:00 AM,11/01/2025 12:00:00 AM,2ddc177df9cb3c8cff9f851fe82cc778cedb5bba78d7ef981033523616d37654,DOT IN-HOUSE PAVING
"MULTILINESTRING ((-74.18813432597739 40.61317163294212, -74.1899566871415 40.613469599665045))",5128,545096522640557732,RIVER ROAD,CHELSEA ROAD,12 AVENUE,S,09/22/2025 12:00:00 AM,10/22/2025 12:00:00 AM,8bc81e9423d3847b093329d60797a6bdcf2c811edbe813ee2ec01b4269690c1c,CONDUIT CONSTRUCTION AND FRANCHISE
"MULTILINESTRING ((-74.1680777557498 40.61370840666294, -74.16849128716963 40.611840072857234))",5297,524037516380528192,COMMERCE STREET,ARLENE STREET,FIELDSTONE ROAD,S,09/18/2025 12:00:00 AM,11/01/2025 12:00:00 AM,c81fd3c8de545862fff67f9c5a8e1b105479bbe51852cbac846e861eed6e0a45,DOT IN-HOUSE PAVING
"MULTILINESTRING ((-74.1680777557498 40.61370840666294, -74.16849128716963 40.611840072857234))",5297,524037518510528192,COMMERCE STREET,BEND,FIELDSTONE ROAD,S,09/18/2025 12:00:00 AM,11/01/2025 12:00:00 AM,1035a2026e8ba14b7f33b86981cb7a460ce9a06f204e776ef1d473e18487d04e,DOT IN-HOUSE PAVING
"MULTILINESTRING ((-74.16753315475084 40.611685898117265, -74.16658462004168 40.61153528736745))",5299,524037516380528192,COMMERCE STREET,ARLENE STREET,FIELDSTONE ROAD,S,09/18/2025 12:00:00 AM,11/01/2025 12:00:00 AM,da52ffaa910daf3f7890dab565996ca2d40dd55ce53ab73cfab69f7298b6de3c,DOT IN-HOUSE PAVING
"MULTILINESTRING ((-74.16753315475084 40.611685898117265, -74.16658462004168 40.61153528736745))",5299,524037570235570398,COMMERCE STREET,OLIVER PLACE,NADAL PLACE,S,09/18/2025 12:00:00 AM,11/01/2025 12:00:00 AM,dc047c5f4805b3a68ee782ed8fa0b6def7ea0f0b003fc39cc4d573c744f83223,DOT IN-HOUSE PAVING
"MULTILINESTRING ((-74.1652088121506 40.613340190753675, -74.16562827905021 40.61138424599083))",5395,528192524037570101,FIELDSTONE ROAD,COMMERCE STREET,ELSON STREET,S,09/11/2025 12:00:00 AM,11/01/2025 12:00:00 AM,7feeab6db7669c6a8740669e150093195c783e46c1f77e4c23b8b33b6015ec71,DOT IN-HOUSE PAVING
"MULTILINESTRING ((-74.08493327243065 40.59067180222424, -74.0839239940472 40.59016166779815))",14154,538640525908533970,MC DERMOTT AVENUE,DEAD END,HURLBERT STREET,S,09/22/2025 12:00:00 AM,09/28/2025 12:00:00 AM,90b2ee659edb9219c8b85d0d67eb00cdace248eb88c1b6bd2ce598888f9cfd6a,CONTRACT ROADWAY MILLING
"MULTILINESTRING ((-74.08470429665579 40.591420576404424, -74.08332896852001 40.59071328426967))",14156,518770533970538470,BENTON AVENUE,HURLBERT STREET,MASON AVENUE,S,09/22/2025 12:00:00 AM,09/28/2025 12:00:00 AM,f1ec53b5b9c7b9d8884ca476f07353eb81758bf1971dd6f6a20b69f0b90bb22f,CONTRACT ROADWAY MILLING
