latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,1.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h)
2015-01-01,1,29.6,36.7,24.4,19.2,25.4,14.5,13.2,26.8,235,2015-01-01T08:20,2015-01-01T17:39,33525.93,29236.59,0.00,0.00,0.00,0.0
2015-01-02,3,34.0,41.8,28.1,25.1,32.5,21.0,12.4,23.0,259,2015-01-02T08:20,2015-01-02T17:39,33570.76,29150.96,0.00,0.00,0.00,0.0
2015-01-03,75,33.9,44.5,26.4,27.0,39.6,19.7,9.8,19.9,83,2015-01-03T08:20,2015-01-03T17:40,33619.79,6444.89,16.50,12.10,3.08,10.0
2015-01-04,61,49.6,56.4,44.3,45.6,53.5,40.2,13.9,29.1,234,2015-01-04T08:20,2015-01-04T17:41,33672.91,0.00,7.20,7.20,0.00,13.0
2015-01-05,3,34.5,45.2,25.2,23.7,37.5,13.8,16.6,31.1,286,2015-01-05T08:20,2015-01-05T17:42,33729.98,29161.29,0.00,0.00,0.00,0.0
2015-01-06,73,22.1,24.5,20.2,13.1,15.8,9.7,10.6,21.3,273,2015-01-06T08:20,2015-01-06T17:43,33790.88,2786.08,1.20,0.00,1.05,6.0
2015-01-07,3,19.4,24.7,9.9,7.4,12.8,-3.7,18.3,37.6,289,2015-01-07T08:20,2015-01-07T17:44,33855.48,29642.03,0.00,0.00,0.00,0.0
2015-01-08,3,14.3,21.4,8.3,3.0,10.4,-5.1,16.1,30.9,270,2015-01-08T08:20,2015-01-08T17:45,33923.66,29650.48,0.00,0.00,0.00,0.0
2015-01-09,73,25.3,33.3,16.9,14.6,20.7,6.6,15.4,33.3,235,2015-01-09T08:19,2015-01-09T17:46,33995.27,19859.59,0.90,0.00,0.63,4.0
2015-01-10,0,18.8,23.0,14.6,8.5,12.1,4.1,10.9,22.4,269,2015-01-10T08:19,2015-01-10T17:47,34070.20,30137.60,0.00,0.00,0.00,0.0
2015-01-11,3,24.6,35.7,16.1,15.8,26.0,7.0,9.3,17.4,214,2015-01-11T08:19,2015-01-11T17:48,34148.32,28977.10,0.00,0.00,0.00,0.0
2015-01-12,61,33.9,36.5,29.8,27.6,31.5,22.5,7.8,17.4,244,2015-01-12T08:19,2015-01-12T17:49,34229.51,0.00,12.40,12.40,0.00,14.0
2015-01-13,71,26.2,34.9,17.6,16.7,28.8,8.4,12.3,23.3,0,2015-01-13T08:18,2015-01-13T17:50,34313.63,30302.51,1.10,0.80,0.21,3.0
2015-01-14,3,23.9,32.0,17.2,15.3,24.2,7.1,8.4,15.2,24,2015-01-14T08:18,2015-01-14T17:51,34400.57,18409.40,0.00,0.00,0.00,0.0
2015-01-15,2,27.6,34.4,22.8,19.7,25.3,15.7,8.1,15.4,292,2015-01-15T08:18,2015-01-15T17:52,34490.19,30338.47,0.00,0.00,0.00,0.0
2015-01-16,3,29.9,40.8,21.1,19.6,29.5,9.6,14.2,26.8,285,2015-01-16T08:17,2015-01-16T17:54,34582.37,30679.45,0.00,0.00,0.00,0.0
2015-01-17,3,22.3,28.8,16.9,13.1,19.7,7.5,10.9,21.5,291,2015-01-17T08:17,2015-01-17T17:55,34677.00,30681.21,0.00,0.00,0.00,0.0
2015-01-18,63,35.3,43.8,26.2,29.7,39.8,18.2,7.0,15.0,212,2015-01-18T08:16,2015-01-18T17:56,34773.96,0.00,34.10,34.10,0.00,14.0
2015-01-19,3,33.7,41.6,29.0,24.9,31.1,20.4,14.1,28.9,276,2015-01-19T08:16,2015-01-19T17:57,34873.11,26920.64,0.00,0.00,0.00,0.0
