the_geom,PHYSICALID,L_LOW_HN,L_HIGH_HN,R_LOW_HN,R_HIGH_HN,L_ZIP,R_ZIP,STATUS,BIKE_LANE,TRAFDIR,RW_TYPE,PRE_TYPE,POST_TYPE,OBJECTID,FCC,Left side Block Face ID,Right Side Block Face ID,Average Travel Time,Roadway Jurisdiction,NOMINALDIR,ACCESSIBLE,NONPED,Borough Code,Borough Indicator,Segloc Status,San District Inc,Left Side Subset,Right Side Subset,Continuous Parity Flag,Twisted Parity Flag,Posted Speed,Segment Length,Street Width,Street Width IRR,Special Disaster,Fire Lane,CREATED_DATE,MODIFIED_DATE,WITHIN_BNDY_DIST,TRUCK ROUTE TYPE,Collection Method,FROM_LEVEL_CODE,TO_LEVEL_CODE,B5SC,Snow Priority,JOINID,BPHYS_ID,Cartography Display Level,Number Travel Lanes,Number Park Lanes,Number Total Lane,Pre-Modifier,Pre-Directional,Post Directional,Post Modifier,Full Street Name,BIKE TRAFFIC DIRECTION,SHAPE__Length,GlobalID,SEGMENT_TYPE,SEGMENT_TYPE_VALUE,STREET NAME,Street Name Label,nearest_station,normalized_street_name,in_dot_dataset
"MULTILINESTRING ((-73.925899194344 40.798813667518, -73.92627345966 40.798548993903), (-73.92627345966 40.798548993903, -73.926330575388 40.798483374931, -73.92638027262 40.798414357033, -73.926422203421 40.7983424234, -73.926456074229 40.79826807764, -73.92648164791 40.798191840247, -73.926498745422 40.798114244961, -73.926507247061 40.798035835032, -73.926507093307 40.797957159415))",134995,,,,,10035.0,10035.0,2,1.0,NV,6,,,102835,,1322603136.0,1322600764.0,,,,,D,1,,,,,,,N,,,20.0,,,,06/03/2011 07:26:11 PM +0000,04/19/2018 03:17:01 PM +0000,,,,13,13,100236,,,,,1.0,0.0,1.0,,,,,RANDALLS ISLAND GREENWAY,TW,149.52840690289133,573f877d-f75e-45b3-a094-fa9509707175,,,RANDALLS ISLAND GREENWAY,RANDALLS ISLAND GREENWAY,4,1-randalls island greenway,False
"MULTILINESTRING ((-74.065504074641 40.590216911588, -74.065376921744 40.590133495909, -74.065194682124 40.590315608393, -74.065255080264 40.5903554528, -74.065110351302 40.590491530388, -74.064864821702 40.590349670357))",176859,,,,,10305.0,10305.0,2,,NV,6,,,113022,,,,,3.0,,,D,5,,,,,,,N,,350.66344087,,,,,03/28/2011 04:11:01 PM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,500254,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,,121.12661698231408,b1e2523f-c7eb-4d53-b4d0-a96e6c2630ff,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,6,5-pedestrian and bike path link,False
"MULTILINESTRING ((-73.971082887902 40.626561932152, -73.970985921829 40.626055088586))",124065,,,,,11230.0,11230.0,2,1.0,NV,6,,,100496,,,,,,,,D,3,,,,6D,6D,,N,,78.18711981,,,,,03/30/2011 04:49:26 PM +0000,04/19/2018 03:17:43 PM +0000,,,,13,13,300297,,,,,,,,,,,,OCEAN PARKWAY BIKE PATH,TW,75.11900010933381,ebf66456-aa76-4a42-8a85-002337fccb0a,,,OCEAN PARKWAY BIKE PATH,OCEAN PARKWAY BIKE PATH,2,3-ocean parkway bike path,False
"MULTILINESTRING ((-73.840098503128 40.764140479327, -73.840206786999 40.764144833339, -73.840315149472 40.764141811726, -73.840422723282 40.764131438672), (-73.840422723282 40.764131438672, -73.84054204964 40.764117866415))",146373,,,,,11368.0,11368.0,2,1.0,NV,6,,,104533,,,,,,,,,4,,,,,,,N,,128.29754598,,,,,06/06/2012 12:27:05 PM +0000,10/10/2024 10:09:48 AM +0000,,,,13,13,400393,,,,,,,,,,,,MARINA ROAD BIKE PATH,TW,49.64612277953685,b12b1665-ad8d-4a44-8a2b-319ed0c9ae19,,,MARINA ROAD BIKE PATH,MARINA ROAD BIKE PATH,4,4-marina road bike path,False
"MULTILINESTRING ((-74.121719861617 40.626548580766, -74.121745815346 40.626496358993, -74.121746981586 40.626494313403, -74.121754344226 40.626480824724, -74.121807477877 40.626393895336, -74.12181055693 40.626390578519, -74.121830005182 40.626374348152, -74.121837523903 40.626368927997, -74.12185488288 40.626347648508))",66665,,,,,,,2,1.0,NV,6,,,60620,,,,,,,,D,5,,,,,,,N,,82.90409855,,,,,11/29/2007 12:00:00 AM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,510025,,,,,,,,,,,,CLOVE LAKES PARK PATH,TW,33.34794700849227,c960a147-f6d6-4543-b1a6-5525b313ef14,,,CLOVE LAKES PARK PATH,CLOVE LAKES PARK PATH,6,5-clove lakes park path,False
"MULTILINESTRING ((-73.837308544393 40.762802881844, -73.836952722684 40.762838625442, -73.836429957374 40.76289196587))",125855,,,,,11368.0,11368.0,2,4.0,NV,6,,,100841,,,,,,,,,4,,,,,,,N,,,,,,,04/13/2011 02:46:47 PM +0000,06/23/2021 01:27:07 PM +0000,,,,13,13,457790,,,,,,,,,,,,FLUSHING BRDG PED AND BIKE PATH,TW,98.67638148451732,03c716a0-b29a-4378-bb20-00d655205730,,,FLUSHING BRDG PED AND BIKE PATH,FLUSHING BRDG PED AND BIKE PATH,4,4-flushing brdg ped and bike path,False
"MULTILINESTRING ((-73.851012837238 40.752332480527, -73.850932055868 40.752352916586, -73.850857725657 40.752368967229))",180434,,,,,11368.0,11368.0,2,,TW,13,,,114611,,,,,,,,,4,,,,,,,N,,23.58747108,,,,,05/05/2016 12:17:35 PM +0000,04/19/2017 12:08:37 PM +0000,,,,13,13,410015,V,,,,,,,,,,,CONNECTOR,,18.08472644837665,eef5413e-ba15-40ff-9b70-d3af4e736f11,,,CONNECTOR,CONNECTOR,4,4-connector,False
"MULTILINESTRING ((-73.92395061199 40.793133515339, -73.924034115623 40.793173261961))",176317,,,,,10035.0,10035.0,2,1.0,NV,6,,,112796,,,,,,,,,1,,,,,,,N,,27.28203839,,,,,09/26/2016 12:45:49 PM +0000,05/02/2022 04:08:05 PM +0000,,,,13,13,100771,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,TW,10.980157543265388,06741a74-2c94-4cfe-84c8-4f8bccd65682,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,4,1-pedestrian and bike path link,False
"MULTILINESTRING ((-74.007376847173 40.753890254692, -74.00730982295 40.75405726953), (-74.00730982295 40.75405726953, -74.007272757625 40.754139392543, -74.007229565479 40.754219765502, -74.007180388431 40.754298124328), (-74.007180388431 40.754298124328, -74.006979292731 40.754602271655))",132060,,,,,10001.0,10001.0,2,1.0,NV,6,,,102229,,,,,,,,D,1,,,,,,,N,,,,,,,05/12/2011 05:54:46 PM +0000,04/19/2018 03:17:01 PM +0000,,,,13,13,100244,,,,,,,,,,,,HUDSON RIVER GREENWAY,TW,113.89691036624023,a317776f-cd66-48d1-8c91-854464265812,,,HUDSON RIVER GREENWAY,HUDSON RIVER GREENWAY,1,1-hudson river greenway,False
"MULTILINESTRING ((-73.98343470315 40.787955441954, -73.983408745627 40.788045239829, -73.983372174417 40.788132876844, -73.983325291277 40.7882176299), (-73.983325291277 40.7882176299, -73.983309538786 40.788239372326, -73.983296131064 40.788262004852, -73.983285154475 40.788285381696, -73.983276679723 40.788309352277), (-73.983276679723 40.788309352277, -73.983269558661 40.788328923613, -73.983264591255 40.788348875468, -73.98326181153 40.788369071182, -73.983261238525 40.788389372427, -73.983262876165 40.78840964015, -73.983266713233 40.788429735529, -73.983272723446 40.788449520922, -73.98328086564 40.788468860811))",176377,,,,,10024.0,10024.0,2,4.0,NV,6,,,112820,,,,,,,,D,1,,,,,,,N,,195.90892295,,,,,05/03/2017 03:41:28 PM +0000,05/03/2017 04:10:45 PM +0000,,,,13,13,100771,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,TW,79.00866077055598,6236494b-ca1e-4200-838b-c4bdb4fe438f,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,1,1-pedestrian and bike path link,False
"MULTILINESTRING ((-73.905131073006 40.863184600661, -73.905077204265 40.863235867568, -73.905028014406 40.863289776916, -73.904983727611 40.863346083007), (-73.904983727611 40.863346083007, -73.904944545971 40.86340452943, -73.904910647831 40.863464849595, -73.904882187683 40.863526768587), (-73.904882187683 40.863526768587, -73.904934570026 40.863552879392, -73.904984852566 40.863581269954, -73.905032863379 40.863611843197), (-73.905032863379 40.863611843197, -73.905078438644 40.863644494616, -73.905121422192 40.863679112552, -73.905161667055 40.863715578636))",201701,,,,,10468.0,10468.0,2,,NV,6,,,132652,,,,,,,,,2,,,,,,,N,,104.01271801,,,,,11/28/2023 01:04:17 PM +0000,,,,,13,13,201348,,,,,,,,,,,,DEVOE PARK PATH,,99.79152475924576,0231787f-2c97-4ba5-9e9e-5e61b4039d13,,,DEVOE PARK PATH,DEVOE PARK PATH,5,2-devoe park path,False
"MULTILINESTRING ((-74.113452038342 40.618412570652, -74.113452873169 40.61841673929, -74.113474731142 40.618525176659, -74.113507410735 40.618624552584, -74.113512695685 40.618633039243, -74.113569576556 40.618724413182, -74.113676316255 40.618836440865, -74.113784142387 40.618913130314, -74.113927282165 40.618983823988, -74.113988194383 40.619006393252, -74.114037904753 40.619022967515, -74.114154151127 40.619054280575, -74.114156953572 40.619055034353))",66615,,,,,,,2,1.0,NV,6,,,60570,,,,,,,,D,5,,,,,,,N,,326.75982315,,,,,11/29/2007 12:00:00 AM +0000,05/02/2022 04:20:19 PM +0000,,,,13,13,510025,,,,,,,,,,,,CLOVE LAKES PARK PATH,TW,131.31170280275026,0293f3a8-ba12-48c0-b51b-514a9dbfa2d6,,,CLOVE LAKES PARK PATH,CLOVE LAKES PARK PATH,6,5-clove lakes park path,False
"MULTILINESTRING ((-73.767292562591 40.735481946522, -73.766797031699 40.735613214284))",126333,,,,,11364.0,11364.0,2,1.0,NV,6,,,100910,,,,,,,,D,4,,,,,,,N,,,,,,,04/15/2011 12:42:36 PM +0000,04/19/2018 03:18:04 PM +0000,,,,8,13,400080,,,,,,,,,,,,CUNNINGHAM PARK GREENWAY,TW,58.436091410173624,cfbeeb0d-3efa-4947-b9e2-c0eee7485387,,,CUNNINGHAM PARK GREENWAY,CUNNINGHAM PARK GREENWAY,3,4-cunningham park greenway,False
"MULTILINESTRING ((-73.926417515512 40.843995921375, -73.926671945041 40.84409493193), (-73.926671945041 40.84409493193, -73.926686237885 40.844103840179, -73.926699484664 40.844113636641, -73.92671158998 40.844124250763, -73.926722466652 40.844135606105, -73.92673203635 40.844147620889, -73.926740230156 40.844160208585, -73.926746989058 40.844173278541, -73.926752264382 40.844186736629, -73.926756018135 40.844200485928, -73.926758223284 40.844214427418, -73.926758863949 40.844228460696, -73.926757935514 40.844242484698, -73.926755444667 40.844256398425), (-73.926755444667 40.844256398425, -73.926671651513 40.844542941552))",196953,,,,,10452.0,10452.0,2,,FT,9,,,121145,,,,,,,,,2,,,,,,,N,,395.4777366,,,,,08/10/2022 11:37:24 AM +0000,10/10/2024 10:09:48 AM +0000,,,,13,13,297510,V,,,,,,,,,,,MAJOR DEEGAN ENTRANCE NB,,101.87627928354132,e2f2d0dc-38d3-411b-b2a2-fc430f88b127,,,MAJOR DEEGAN ENTRANCE NB,MAJOR DEEGAN ENTRANCE NB,5,2-major deegan entrance nb,False
"MULTILINESTRING ((-73.819431114912 40.709227023515, -73.819528944722 40.708587373229))",181644,,,,,11435.0,11435.0,2,,FT,9,,,114964,,82266124.0,62260338.0,,,,,V,4,,,,3E,3E,,N,,,22.0,,,,11/29/2007 12:00:00 AM +0000,01/10/2023 02:11:58 PM +0000,,3.0,,9,9,411855,C,,,,,0.0,,,,,,VAN WYCK EXPWY SB EN MAIN ST,,94.56381209374446,426414cc-5467-4e90-b127-135fc6e2b779,,,VAN WYCK EXPWY SB EN MAIN ST,VAN WYCK EXPWY SB EN MAIN ST,3,4-van wyck expwy sb en main street,False
