normalized_street_name_season,snap_count,coverage,average_coverage
1-1 avenue_2017,26316,10869.5,0.4130376956984344
1-1 avenue_2018,48916,21306.3,0.43556913893204674
1-1 avenue_2019,14532,6866.8,0.4725295898706304
1-1 avenue_2021,25552,13747.4,0.5380165936130245
1-1 avenue_2022,15888,9177.7,0.577649798590131
1-1 avenue_2024,5597,2821.4,0.5040914775772736
1-1 avenue_2025,3,0.0,0.0
1-1 avenue loop_2017,765,90.2,0.11790849673202615
1-1 avenue loop_2018,1410,3.2,0.0022695035460992908
1-1 avenue loop_2019,420,11.2,0.026666666666666665
1-1 avenue loop_2021,730,71.0,0.09726027397260274
1-1 avenue loop_2022,511,70.9,0.13874755381604698
1-1 avenue loop_2024,174,14.2,0.08160919540229884
1-1 avenue loop_2025,3,0.0,0.0
1-1 drive_2017,460,0.0,0.0
1-1 drive_2018,855,0.0,0.0
1-1 drive_2019,252,0.0,0.0
1-1 drive_2021,438,0.0,0.0
1-1 drive_2022,255,0.0,0.0
1-1 drive_2024,87,0.0,0.0
1-1 drive_2025,2,0.0,0.0
1-1 place_2017,153,50.3,0.3287581699346405
1-1 place_2018,284,96.3,0.3390845070422535
1-1 place_2019,86,32.5,0.37790697674418605
1-1 place_2021,146,55.0,0.3767123287671233
1-1 place_2022,85,33.7,0.39647058823529413
1-1 place_2024,29,9.1,0.3137931034482758
1-10 avenue_2017,11627,5371.8,0.46201083684527394
1-10 avenue_2018,22374,10977.4,0.4906319835523375
1-10 avenue_2019,6636,3326.8,0.5013261000602773
1-10 avenue_2021,11465,6867.7,0.5990143916266899
1-10 avenue_2022,6877,4269.9,0.6208957394212592
1-10 avenue_2024,2320,1165.2,0.5022413793103448
1-10 avenue_2025,2,0.0,0.0
1-102 street crossing_2018,570,37.9,0.06649122807017543
1-102 street crossing_2019,168,0.0,0.0
1-102 street crossing_2021,290,4.5,0.015517241379310345
1-102 street crossing_2022,172,0.0,0.0
1-102 street crossing_2024,58,2.5,0.04310344827586207
1-102 street crossing_2025,1,0.0,0.0
1-11 avenue_2017,8109,4003.1,0.49366136391663584
1-11 avenue_2018,15038,7779.0,0.5172895331826041
1-11 avenue_2019,4452,2203.7,0.4949910152740341
1-11 avenue_2021,7736,4733.7,0.6119053774560496
1-11 avenue_2022,4552,2888.8,0.6346221441124781
1-11 avenue_2024,1624,939.8,0.5786945812807881
1-12 avenue_2017,12393,5999.9,0.4841362059226983
1-12 avenue_2018,23308,12060.4,0.5174360734511756
1-12 avenue_2019,6888,3335.9,0.48430603948896633
1-12 avenue_2021,12208,7181.2,0.5882372214941022
1-12 avenue_2022,7552,4815.3,0.6376191737288136
1-12 avenue_2024,2639,1540.8,0.5838575217885562
1-14 street loop_2017,612,64.3,0.10506535947712418
1-14 street loop_2018,1128,103.3,0.09157801418439716
1-14 street loop_2019,336,26.6,0.07916666666666668
1-14 street loop_2021,584,154.1,0.26386986301369864
1-14 street loop_2022,426,88.9,0.20868544600938968
1-14 street loop_2024,145,7.3,0.0503448275862069
1-14 street loop_2025,1,0.0,0.0
1-145 street bridge_2017,459,173.5,0.3779956427015251
1-145 street bridge_2018,855,364.4,0.4261988304093567
1-145 street bridge_2019,252,103.8,0.4119047619047619
1-145 street bridge_2021,435,239.2,0.5498850574712644
1-145 street bridge_2022,255,135.8,0.5325490196078432
1-145 street bridge_2024,87,40.3,0.46321839080459765
1-145 street bridge ped and bike path_2017,765,205.8,0.2690196078431373
1-145 street bridge ped and bike path_2018,1995,468.8,0.23498746867167922
1-145 street bridge ped and bike path_2019,588,130.1,0.22125850340136052
1-145 street bridge ped and bike path_2021,1021,374.2,0.3665034280117532
1-145 street bridge ped and bike path_2022,598,216.8,0.3625418060200669
1-145 street bridge ped and bike path_2024,261,96.4,0.36934865900383146
1-145 street bridge ped and bike path_2025,1,0.0,0.0
1-2 avenue_2017,20655,10407.9,0.5038925199709513
1-2 avenue_2018,38410,20241.1,0.5269747461598542
1-2 avenue_2019,11424,6412.6,0.5613270308123249
1-2 avenue_2021,19722,12471.1,0.632344589798195
1-2 avenue_2022,12125,8211.9,0.6772701030927835
1-2 avenue_2024,4122,2479.8,0.6016011644832606
1-2 drive_2017,1835,3.8,0.002070844686648501
1-2 drive_2018,3420,3.2,0.0009356725146198831
1-2 drive_2019,1008,0.0,0.0
1-2 drive_2021,1751,0.0,0.0
1-2 drive_2022,1021,0.0,0.0
1-2 drive_2024,348,0.0,0.0
1-2 drive_2025,8,0.0,0.0
1-2 place_2017,306,89.7,0.2931372549019608
1-2 place_2018,568,172.2,0.303169014084507
1-2 place_2019,172,57.9,0.33662790697674416
1-2 place_2021,292,104.1,0.3565068493150685
1-2 place_2022,170,58.3,0.3429411764705882
1-2 place_2024,58,18.2,0.3137931034482758
1-20 street loop_2017,765,133.0,0.1738562091503268
1-20 street loop_2018,1415,333.9,0.23597173144876324
1-20 street loop_2019,420,58.3,0.1388095238095238
1-20 street loop_2021,730,223.5,0.3061643835616438
1-20 street loop_2022,425,130.7,0.30752941176470583
1-20 street loop_2024,145,30.6,0.2110344827586207
1-3 avenue_2017,17595,7522.8,0.4275532821824382
1-3 avenue_2018,32730,14607.8,0.446312251756798
1-3 avenue_2019,9660,4197.3,0.4345031055900621
1-3 avenue_2021,16832,8576.6,0.509541349809886
1-3 avenue_2022,10490,5636.3,0.537302192564347
1-3 avenue_2024,3538,1773.2,0.5011871113623516
1-3 avenue bridge_2017,765,235.7,0.3081045751633987
1-3 avenue bridge_2018,1995,626.1,0.3138345864661654
1-3 avenue bridge_2019,588,157.9,0.26853741496598643
1-3 avenue bridge_2021,1025,415.8,0.4056585365853659
1-3 avenue bridge_2022,596,212.5,0.3565436241610738
1-3 avenue bridge_2024,261,90.1,0.34521072796934865
1-3 avenue bridge ped and bike path_2017,918,177.5,0.19335511982570805
1-3 avenue bridge ped and bike path_2018,2565,499.8,0.19485380116959064
1-3 avenue bridge ped and bike path_2019,756,115.3,0.15251322751322752
1-3 avenue bridge ped and bike path_2021,1316,355.2,0.26990881458966565
1-3 avenue bridge ped and bike path_2022,771,158.5,0.20557717250324253
1-3 avenue bridge ped and bike path_2024,377,73.8,0.19575596816976126
1-3 avenue bridge ped and bike path_2025,2,0.0,0.0
1-3 avenue east 128 street ped opas_2017,610,71.9,0.1178688524590164
1-3 avenue east 128 street ped opas_2018,1710,249.3,0.14578947368421052
1-3 avenue east 128 street ped opas_2019,504,66.8,0.13253968253968254
1-3 avenue east 128 street ped opas_2021,879,157.0,0.17861205915813425
1-3 avenue east 128 street ped opas_2022,514,72.8,0.14163424124513618
1-3 avenue east 128 street ped opas_2024,203,40.2,0.19802955665024632
1-3 avenue east 128 street ped opas_2025,1,0.0,0.0
1-3 drive_2017,1992,0.0,0.0
1-3 drive_2018,3705,0.0,0.0
1-3 drive_2019,1092,0.0,0.0
1-3 drive_2021,1898,0.0,0.0
1-3 drive_2022,1105,0.0,0.0
1-3 drive_2024,377,0.0,0.0
1-3 drive_2025,11,0.0,0.0
1-3 place_2017,306,97.0,0.31699346405228757
1-3 place_2018,568,186.8,0.3288732394366197
1-3 place_2019,172,64.1,0.3726744186046511
1-3 place_2021,292,115.8,0.39657534246575343
1-3 place_2022,170,65.2,0.3835294117647059
1-3 place_2024,58,17.2,0.296551724137931
1-4 avenue_2017,765,285.0,0.37254901960784315
1-4 avenue_2018,1425,571.1,0.40077192982456145
1-4 avenue_2019,504,199.4,0.3956349206349207
1-4 avenue_2021,870,434.8,0.49977011494252876
1-4 avenue_2022,516,277.1,0.5370155038759691
1-4 avenue_2024,174,80.5,0.46264367816091956
1-4 drive_2017,1075,0.0,0.0
1-4 drive_2018,1995,0.0,0.0
1-4 drive_2019,588,0.0,0.0
1-4 drive_2021,1022,0.0,0.0
1-4 drive_2022,595,0.0,0.0
1-4 drive_2024,203,0.0,0.0
1-4 drive_2025,2,0.0,0.0
1-5 avenue_2017,19431,7690.7,0.3957953785188616
1-5 avenue_2018,38153,16119.0,0.4224831599087883
1-5 avenue_2019,11424,4889.1,0.42796743697478995
1-5 avenue_2021,20025,9760.2,0.4874007490636704
1-5 avenue_2022,11951,6487.3,0.5428248682118652
1-5 avenue_2024,4031,1874.2,0.464946663358968
1-5 drive_2017,310,0.0,0.0
1-5 drive_2018,570,0.0,0.0
1-5 drive_2019,168,0.0,0.0
1-5 drive_2021,292,0.0,0.0
1-5 drive_2022,170,0.0,0.0
1-5 drive_2024,87,0.0,0.0
1-5 drive_2025,3,0.0,0.0
1-6 avenue_2017,11934,5482.2,0.459376571141277
1-6 avenue_2018,22732,10645.2,0.46829139538975895
1-6 avenue_2019,6838,3241.3,0.47401286926001757
1-6 avenue_2021,11823,6548.6,0.5538864924300093
1-6 avenue_2022,6986,4123.5,0.5902519324363011
1-6 avenue_2024,2378,1059.2,0.44541631623212785
1-6 avenue_2025,2,0.0,0.0
1-6 drive_2017,1710,0.0,0.0
1-6 drive_2018,3135,7.2,0.0022966507177033493
1-6 drive_2019,924,0.0,0.0
1-6 drive_2021,1606,0.0,0.0
1-6 drive_2022,935,0.0,0.0
1-6 drive_2024,319,0.0,0.0
1-6 drive_2025,8,0.0,0.0
1-65 street transverse_2017,765,197.5,0.2581699346405229
1-65 street transverse_2018,1995,541.4,0.2713784461152882
1-65 street transverse_2019,588,195.9,0.33316326530612245
1-65 street transverse_2021,1018,326.6,0.3208251473477407
1-65 street transverse_2022,596,192.3,0.3226510067114094
1-65 street transverse_2024,347,67.5,0.19452449567723343
1-65 street transverse_2025,5,0.0,0.0
1-7 avenue_2017,7191,3136.7,0.43619802530941454
1-7 avenue_2018,13078,6115.2,0.4675944333996024
1-7 avenue_2019,4032,1808.1,0.4484375
1-7 avenue_2021,6962,3641.3,0.5230249928181557
1-7 avenue_2022,4128,2387.8,0.5784399224806202
1-7 avenue_2024,1392,629.0,0.45186781609195403
1-7 avenue south_2017,1989,1006.1,0.5058320764203117
1-7 avenue south_2018,3681,1978.5,0.5374898125509372
1-7 avenue south_2019,1104,625.5,0.5665760869565217
1-7 avenue south_2021,1897,1192.7,0.6287295730100159
1-7 avenue south_2022,1107,740.5,0.6689250225835591
1-7 avenue south_2024,377,201.1,0.5334217506631299
1-7 drive_2017,153,0.0,0.0
