normalized_street_name_season,normalized_street_name,roadwork_season,sqyd-days,area,total_area,roadwork_factor
1-1 avenue_2016,1-1 avenue,2016,137806.5,22967.8,253446.9,0.0906
1-1 avenue_2019,1-1 avenue,2019,50519.9,25259.9,253446.9,0.0997
1-1 avenue_2020,1-1 avenue,2020,505190.5,252595.2,253446.9,0.9966
1-1 avenue_2022,1-1 avenue,2022,81924.0,40962.0,253446.9,0.1616
1-1 avenue_2024,1-1 avenue,2024,255112.0,127556.0,253446.9,0.5033
1-1 place_2020,1-1 place,2020,1526.7,763.3,1923.0,0.3969
1-10 avenue_2016,1-10 avenue,2016,193536.7,48384.2,118024.8,0.4099
1-10 avenue_2017,1-10 avenue,2017,4085.5,2042.7,118024.8,0.0173
1-10 avenue_2021,1-10 avenue,2021,114791.6,57395.8,118024.8,0.4863
1-10 avenue_2022,1-10 avenue,2022,59712.7,29856.4,118024.8,0.253
1-11 avenue_2016,1-11 avenue,2016,36418.2,10121.3,86959.3,0.1164
1-11 avenue_2018,1-11 avenue,2018,55932.5,18644.2,86959.3,0.2144
1-11 avenue_2019,1-11 avenue,2019,59920.1,23094.8,86959.3,0.2656
1-11 avenue_2021,1-11 avenue,2021,64313.1,32156.5,86959.3,0.3698
1-11 avenue_2022,1-11 avenue,2022,19150.0,9575.0,86959.3,0.1101
1-11 avenue_2024,1-11 avenue,2024,38328.0,19164.0,86959.3,0.2204
1-110 street_2022,1-110 street,2022,102016.0,51008.0,,
1-110 street_2024,1-110 street,2024,748.0,374.0,,
1-110 street_2025,1-110 street,2025,75950.0,37975.0,,
1-12 avenue_2018,1-12 avenue,2018,235233.2,64826.7,111796.4,0.5799
1-2 avenue_2017,1-2 avenue,2017,3568.9,1784.4,227016.3,0.0079
1-2 avenue_2019,1-2 avenue,2019,532809.9,245897.9,227016.3,1.0832
1-2 avenue_2020,1-2 avenue,2020,15702.5,7851.2,227016.3,0.0346
1-2 avenue_2022,1-2 avenue,2022,15852.0,7926.0,227016.3,0.0349
1-2 avenue_2023,1-2 avenue,2023,50586.0,25293.0,227016.3,0.1114
1-2 avenue_2024,1-2 avenue,2024,138858.0,69429.0,227016.3,0.3058
1-2 avenue_2025,1-2 avenue,2025,38876.0,19438.0,227016.3,0.0856
1-2 place_2020,1-2 place,2020,7153.4,3576.7,1554.8,2.3004
1-3 avenue_2016,1-3 avenue,2016,2651721.0,191889.8,237992.4,0.8063
1-3 avenue_2020,1-3 avenue,2020,118335.7,60153.6,237992.4,0.2528
1-3 avenue_2021,1-3 avenue,2021,11093.3,5546.7,237992.4,0.0233
1-3 avenue_2022,1-3 avenue,2022,28438.0,14219.0,237992.4,0.0597
1-3 avenue_2023,1-3 avenue,2023,235557.0,101233.0,237992.4,0.4254
1-3 avenue_2024,1-3 avenue,2024,16112.0,8056.0,237992.4,0.0338
1-3 avenue_2025,1-3 avenue,2025,193986.0,96993.0,237992.4,0.4075
1-3 place_2020,1-3 place,2020,2033.3,1016.7,974.8,1.043
1-4 avenue_2017,1-4 avenue,2017,374694.4,53527.8,9501.1,5.6339
1-4 avenue_2024,1-4 avenue,2024,3608.0,1804.0,9501.1,0.1899
1-5 avenue_2016,1-5 avenue,2016,322601.4,99302.4,185254.8,0.536
1-5 avenue_2017,1-5 avenue,2017,766158.8,166493.6,185254.8,0.8987
1-5 avenue_2018,1-5 avenue,2018,170238.8,85119.4,185254.8,0.4595
1-5 avenue_2019,1-5 avenue,2019,336481.4,168240.7,185254.8,0.9082
1-5 avenue_2020,1-5 avenue,2020,1639003.8,819501.9,185254.8,4.4236
1-5 avenue_2021,1-5 avenue,2021,336.0,168.0,185254.8,0.0009
1-5 avenue_2022,1-5 avenue,2022,15496.0,7748.0,185254.8,0.0418
1-5 avenue_2023,1-5 avenue,2023,36236.0,18118.0,185254.8,0.0978
1-5 avenue_2024,1-5 avenue,2024,75114.0,37557.0,185254.8,0.2027
1-5 avenue_2025,1-5 avenue,2025,69024.0,34512.0,185254.8,0.1863
1-6 avenue_2017,1-6 avenue,2017,230054.3,86055.2,137845.8,0.6243
1-6 avenue_2019,1-6 avenue,2019,18380.0,9190.0,137845.8,0.0667
1-6 avenue_2020,1-6 avenue,2020,23293.3,11646.7,137845.8,0.0845
1-6 avenue_2022,1-6 avenue,2022,40164.0,20082.0,137845.8,0.1457
1-6 avenue_2023,1-6 avenue,2023,56199.0,18268.0,137845.8,0.1325
1-6 avenue_2024,1-6 avenue,2024,56566.0,28283.0,137845.8,0.2052
1-7 avenue_2018,1-7 avenue,2018,332767.8,166383.9,82206.1,2.024
1-7 avenue_2019,1-7 avenue,2019,14546.6,9009.7,82206.1,0.1096
1-7 avenue_2020,1-7 avenue,2020,27075.5,13537.8,82206.1,0.1647
1-7 avenue_2021,1-7 avenue,2021,68985.7,34492.8,82206.1,0.4196
1-7 avenue_2022,1-7 avenue,2022,126604.0,63302.0,82206.1,0.77
1-7 avenue_2023,1-7 avenue,2023,127706.0,63853.0,82206.1,0.7767
1-7 avenue_2024,1-7 avenue,2024,184604.0,92302.0,82206.1,1.1228
1-7 avenue_2025,1-7 avenue,2025,325824.0,162912.0,82206.1,1.9818
1-7 avenue south_2019,1-7 avenue south,2019,53309.9,24156.6,18491.0,1.3064
1-7 avenue south_2021,1-7 avenue south,2021,336.0,168.0,18491.0,0.0091
1-72 street transverse_2020,1-72 street transverse,2020,12213.3,6106.7,,
1-79 street transverse_2020,1-79 street transverse,2020,146733.4,73366.7,10166.8,7.2163
1-8 avenue_2016,1-8 avenue,2016,261481.3,65370.3,97651.6,0.6694
1-8 avenue_2017,1-8 avenue,2017,613079.3,117777.2,97651.6,1.2061
1-8 avenue_2018,1-8 avenue,2018,119804.8,24400.7,97651.6,0.2499
1-8 avenue_2019,1-8 avenue,2019,125758.7,44731.3,97651.6,0.4581
1-8 avenue_2022,1-8 avenue,2022,96644.0,48322.0,97651.6,0.4948
1-8 avenue_2023,1-8 avenue,2023,22512.0,11256.0,97651.6,0.1153
1-8 avenue_2024,1-8 avenue,2024,15356.0,7678.0,97651.6,0.0786
1-8 avenue_2025,1-8 avenue,2025,46158.0,23079.0,97651.6,0.2363
1-85 street transverse_2017,1-85 street transverse,2017,5253.3,2626.7,,
1-86 street transverse_2017,1-86 street transverse,2017,115039.9,57520.0,7260.7,7.9221
1-9 avenue_2018,1-9 avenue,2018,10825.7,3608.6,107918.6,0.0334
1-9 avenue_2019,1-9 avenue,2019,58873.2,27753.6,107918.6,0.2572
1-97 street transverse_2017,1-97 street transverse,2017,135306.7,47596.7,12500.3,3.8076
1-abraham kazan street_2021,1-abraham kazan street,2021,23369.0,11684.5,946.4,12.3463
1-academy street_2021,1-academy street,2021,33037.0,16518.5,10634.5,1.5533
1-academy street_2024,1-academy street,2024,450.0,225.0,10634.5,0.0212
1-academy street_2025,1-academy street,2025,602.0,301.0,10634.5,0.0283
1-albany street_2018,1-albany street,2018,29040.1,9680.0,5368.1,1.8032
1-albany street_2022,1-albany street,2022,78.0,39.0,5368.1,0.0073
1-allen street_2022,1-allen street,2022,64958.0,18049.0,24938.6,0.7237
1-amsterdam avenue_2016,1-amsterdam avenue,2016,76929.1,38464.6,227083.5,0.1694
1-amsterdam avenue_2017,1-amsterdam avenue,2017,211889.0,62349.1,227083.5,0.2746
1-amsterdam avenue_2019,1-amsterdam avenue,2019,31996.1,15998.0,227083.5,0.0704
1-amsterdam avenue_2020,1-amsterdam avenue,2020,21968.2,10984.1,227083.5,0.0484
1-amsterdam avenue_2022,1-amsterdam avenue,2022,139692.0,69056.0,227083.5,0.3041
1-amsterdam avenue_2023,1-amsterdam avenue,2023,163302.0,81651.0,227083.5,0.3596
1-amsterdam avenue_2024,1-amsterdam avenue,2024,216374.0,108187.0,227083.5,0.4764
1-arden street_2017,1-arden street,2017,36429.9,13039.3,5223.2,2.4964
1-arden street_2024,1-arden street,2024,13118.0,6559.0,5223.2,1.2557
1-attorney street_2022,1-attorney street,2022,752.0,376.0,4251.2,0.0884
1-audubon avenue_2019,1-audubon avenue,2019,12106.0,6053.0,35157.1,0.1722
1-audubon avenue_2023,1-audubon avenue,2023,31790.0,15895.0,35157.1,0.4521
1-audubon avenue_2024,1-audubon avenue,2024,25930.0,12965.0,35157.1,0.3688
1-avenue a_2022,1-avenue a,2022,652.0,326.0,18713.9,0.0174
1-avenue a_2023,1-avenue a,2023,2012.0,1006.0,18713.9,0.0538
1-avenue a_2024,1-avenue a,2024,14766.0,7383.0,18713.9,0.3945
1-avenue b_2021,1-avenue b,2021,38198.7,19099.3,12622.2,1.5132
1-avenue b_2022,1-avenue b,2022,402.0,201.0,12622.2,0.0159
1-avenue b_2023,1-avenue b,2023,2532.0,844.0,12622.2,0.0669
1-avenue c_2021,1-avenue c,2021,294859.5,147429.7,30114.6,4.8956
1-avenue c_2022,1-avenue c,2022,828.0,414.0,30114.6,0.0137
1-avenue d_2016,1-avenue d,2016,134780.8,67390.4,9963.3,6.7639
1-avenue d_2020,1-avenue d,2020,210896.0,105448.0,9963.3,10.5836
1-avenue d_2022,1-avenue d,2022,492.0,246.0,9963.3,0.0247
1-bank street_2023,1-bank street,2023,408.0,204.0,6194.7,0.0329
1-barclay street_2019,1-barclay street,2019,88686.9,22171.7,7589.0,2.9216
1-barrow street_2023,1-barrow street,2023,288.0,144.0,7001.0,0.0206
1-baruch place_2022,1-baruch place,2022,1134.0,378.0,1494.1,0.253
1-battery place_2018,1-battery place,2018,102489.9,25622.5,9949.6,2.5752
1-battery place_2020,1-battery place,2020,150773.3,75386.6,9949.6,7.5768
1-baxter street_2019,1-baxter street,2019,26468.3,13234.2,5463.1,2.4225
1-baxter street_2022,1-baxter street,2022,226.0,113.0,5463.1,0.0207
1-baxter street_2024,1-baxter street,2024,344.0,172.0,5463.1,0.0315
1-beach street_2023,1-beach street,2023,704.0,352.0,3713.3,0.0948
1-beaver street_2016,1-beaver street,2016,30908.0,15454.0,3040.2,5.0832
1-beaver street_2022,1-beaver street,2022,150.0,75.0,3040.2,0.0247
1-bedford street_2022,1-bedford street,2022,132.0,66.0,4583.6,0.0144
1-bend_2022,1-bend,2022,16766.0,8383.0,,
1-bend_2023,1-bend,2023,2748.0,1374.0,,
1-bend_2024,1-bend,2024,200.0,100.0,,
1-bend_2025,1-bend,2025,5680.0,2840.0,,
1-bennett avenue_2016,1-bennett avenue,2016,164298.2,47972.6,9861.3,4.8647
1-bethune street_2018,1-bethune street,2018,23298.9,11649.4,3512.3,3.3167
1-bleecker street_2023,1-bleecker street,2023,54998.0,27499.0,18723.0,1.4687
1-body of water_2019,1-body of water,2019,483999.4,483999.4,,
1-bogardus place_2021,1-bogardus place,2021,4605.2,2302.6,2494.0,0.9233
1-bowery_2020,1-bowery,2020,576291.8,288145.9,32896.6,8.7591
1-bradhurst avenue_2019,1-bradhurst avenue,2019,9882.4,4941.2,13813.1,0.3577
1-bradhurst avenue_2022,1-bradhurst avenue,2022,5264.0,2632.0,13813.1,0.1905
1-bradhurst avenue_2023,1-bradhurst avenue,2023,6690.0,3345.0,13813.1,0.2422
1-bradhurst avenue_2025,1-bradhurst avenue,2025,6754.0,3377.0,13813.1,0.2445
1-bridge street_2018,1-bridge street,2018,9880.0,4940.0,1802.8,2.7402
1-broad street_2019,1-broad street,2019,186146.6,33377.7,7932.0,4.208
1-broadway_2016,1-broadway,2016,7790.4,3895.2,466102.4,0.0084
1-broadway_2017,1-broadway,2017,3858978.9,542435.1,466102.4,1.1638
1-broadway_2018,1-broadway,2018,1557467.2,575830.5,466102.4,1.2354
1-broadway_2019,1-broadway,2019,63120.1,31560.0,466102.4,0.0677
1-broadway_2020,1-broadway,2020,182636.6,91318.3,466102.4,0.1959
1-broadway_2021,1-broadway,2021,92294.7,46147.3,466102.4,0.099
1-broadway_2022,1-broadway,2022,269747.8,130712.4,466102.4,0.2804
1-broadway_2023,1-broadway,2023,1016167.0,164688.0,466102.4,0.3533
1-broadway_2024,1-broadway,2024,151190.0,74812.0,466102.4,0.1605
1-broadway_2025,1-broadway,2025,124860.0,62430.0,466102.4,0.1339
1-broadway terrace_2016,1-broadway terrace,2016,2717.9,1358.9,2932.5,0.4634
1-broome street_2016,1-broome street,2016,18266.7,9133.4,29023.6,0.3147
1-broome street_2019,1-broome street,2019,51430.6,25253.9,29023.6,0.8701
1-broome street_2021,1-broome street,2021,336.0,168.0,29023.6,0.0058
1-broome street_2022,1-broome street,2022,34832.0,17416.0,29023.6,0.6001
1-broome street_2025,1-broome street,2025,694.0,347.0,29023.6,0.012
1-c p east drive_2019,1-c p east drive,2019,4013.3,4013.3,,
1-c p east drive_2025,1-c p east drive,2025,12438.0,6219.0,,
1-c p west drive_2017,1-c p west drive,2017,144060.0,10290.0,,
1-c p west drive_2025,1-c p west drive,2025,702576.0,16728.0,,
1-cabrini boulevard_2022,1-cabrini boulevard,2022,326.0,163.0,7372.3,0.0221
1-cabrini boulevard_2023,1-cabrini boulevard,2023,94354.0,47177.0,7372.3,6.3992
1-canal street_2024,1-canal street,2024,62998.0,31499.0,50655.4,0.6218
1-canal street_2025,1-canal street,2025,47802.0,23901.0,50655.4,0.4718
1-carlisle street_2022,1-carlisle street,2022,46.0,23.0,783.5,0.0294
1-carmine street_2023,1-carmine street,2023,7190.0,3595.0,4149.4,0.8664
1-catherine lane_2022,1-catherine lane,2022,266.0,133.0,799.9,0.1663
1-catherine slip_2016,1-catherine slip,2016,7259.9,2420.0,841.2,2.8768
1-catherine street_2016,1-catherine street,2016,54251.4,13562.8,3605.0,3.7622
1-catherine street_2022,1-catherine street,2022,204.0,102.0,3605.0,0.0283
1-catherine street_2023,1-catherine street,2023,156.0,78.0,3605.0,0.0216
1-cedar street_2022,1-cedar street,2022,222.0,111.0,4010.6,0.0277
1-center drive_2025,1-center drive,2025,260352.0,115676.0,17213.0,6.7203
1-central park east drive_2019,1-central park east drive,2019,254923.3,239743.2,,
1-central park east drive_2025,1-central park east drive,2025,46182.0,23091.0,,
1-central park lenox avenue appr_2019,1-central park lenox avenue appr,2019,14160.1,14160.1,,
1-central park path_2023,1-central park path,2023,408.0,204.0,5712.8,0.0357
1-central park powell boulevard appr_2017,1-central park powell boulevard appr,2017,127120.6,9080.0,,
1-central park west_2016,1-central park west,2016,348649.8,174324.9,87523.7,1.9917
1-central park west_2017,1-central park west,2017,1065631.9,532816.0,87523.7,6.0877
1-central park west_2019,1-central park west,2019,505376.5,252688.3,87523.7,2.8871
