normalized_street_name_season,normalized_street_name,roadwork_season,area,total_area,roadwork_factor
1-1 avenue_summer_2003,1-1 avenue,2003,375912.4,253446.9,1.4832
1-1 avenue_summer_2008,1-1 avenue,2008,105248.3,253446.9,0.4153
1-1 avenue_summer_2009,1-1 avenue,2009,24890.8,253446.9,0.0982
1-1 avenue_summer_2010,1-1 avenue,2010,395036.6,253446.9,1.5587
1-1 avenue_summer_2012,1-1 avenue,2012,12996.7,253446.9,0.0513
1-1 avenue_summer_2013,1-1 avenue,2013,656909.8,253446.9,2.5919
1-1 avenue_summer_2015,1-1 avenue,2015,55711.4,253446.9,0.2198
1-1 avenue_summer_2016,1-1 avenue,2016,22967.8,253446.9,0.0906
1-1 avenue_summer_2019,1-1 avenue,2019,25259.9,253446.9,0.0997
1-1 avenue_summer_2020,1-1 avenue,2020,252595.2,253446.9,0.9966
1-1 avenue_summer_2022,1-1 avenue,2022,40962.0,253446.9,0.1616
1-1 avenue_summer_2024,1-1 avenue,2024,127556.0,253446.9,0.5033
1-1 place_summer_2020,1-1 place,2020,763.3,1923.0,0.3969
1-10 avenue_summer_2003,1-10 avenue,2003,143762.1,118024.8,1.2181
1-10 avenue_summer_2012,1-10 avenue,2012,19953.3,118024.8,0.1691
1-10 avenue_summer_2014,1-10 avenue,2014,224851.4,118024.8,1.9051
1-10 avenue_summer_2016,1-10 avenue,2016,48384.2,118024.8,0.4099
1-10 avenue_summer_2017,1-10 avenue,2017,2042.7,118024.8,0.0173
1-10 avenue_summer_2021,1-10 avenue,2021,57395.8,118024.8,0.4863
1-10 avenue_summer_2022,1-10 avenue,2022,29856.4,118024.8,0.253
1-10 avenue_summer_2025,1-10 avenue,2025,48525.0,118024.8,0.4111
1-11 avenue_summer_2003,1-11 avenue,2003,83902.5,86959.3,0.9648
1-11 avenue_summer_2009,1-11 avenue,2009,8804.4,86959.3,0.1012
1-11 avenue_summer_2010,1-11 avenue,2010,24430.0,86959.3,0.2809
1-11 avenue_summer_2016,1-11 avenue,2016,10121.3,86959.3,0.1164
1-11 avenue_summer_2018,1-11 avenue,2018,18644.2,86959.3,0.2144
1-11 avenue_summer_2019,1-11 avenue,2019,23094.8,86959.3,0.2656
1-11 avenue_summer_2021,1-11 avenue,2021,32156.5,86959.3,0.3698
1-11 avenue_summer_2022,1-11 avenue,2022,9575.0,86959.3,0.1101
1-11 avenue_summer_2024,1-11 avenue,2024,19164.0,86959.3,0.2204
1-110 street_summer_2014,1-110 street,2014,106874.0,,
1-110 street_summer_2022,1-110 street,2022,51008.0,,
1-110 street_summer_2024,1-110 street,2024,374.0,,
1-110 street_summer_2025,1-110 street,2025,37975.0,,
1-12 avenue_summer_2004,1-12 avenue,2004,95507.0,111796.4,0.8543
1-12 avenue_summer_2018,1-12 avenue,2018,64826.7,111796.4,0.5799
1-2 avenue_summer_2004,1-2 avenue,2004,369281.9,227016.3,1.6267
1-2 avenue_summer_2007,1-2 avenue,2007,51963.2,227016.3,0.2289
1-2 avenue_summer_2010,1-2 avenue,2010,425252.4,227016.3,1.8732
1-2 avenue_summer_2011,1-2 avenue,2011,16612.8,227016.3,0.0732
1-2 avenue_summer_2017,1-2 avenue,2017,1784.4,227016.3,0.0079
1-2 avenue_summer_2019,1-2 avenue,2019,245897.9,227016.3,1.0832
1-2 avenue_summer_2020,1-2 avenue,2020,7851.2,227016.3,0.0346
1-2 avenue_summer_2022,1-2 avenue,2022,7926.0,227016.3,0.0349
1-2 avenue_summer_2023,1-2 avenue,2023,25293.0,227016.3,0.1114
1-2 avenue_summer_2024,1-2 avenue,2024,69429.0,227016.3,0.3058
1-2 avenue_summer_2025,1-2 avenue,2025,28366.0,227016.3,0.125
1-2 place_summer_2020,1-2 place,2020,3576.7,1554.8,2.3004
1-3 avenue_summer_2005,1-3 avenue,2005,312507.4,237992.4,1.3131
1-3 avenue_summer_2008,1-3 avenue,2008,105915.2,237992.4,0.445
1-3 avenue_summer_2012,1-3 avenue,2012,24757.1,237992.4,0.104
1-3 avenue_summer_2015,1-3 avenue,2015,3619.6,237992.4,0.0152
1-3 avenue_summer_2016,1-3 avenue,2016,191889.8,237992.4,0.8063
1-3 avenue_summer_2020,1-3 avenue,2020,60153.6,237992.4,0.2528
1-3 avenue_summer_2021,1-3 avenue,2021,5546.7,237992.4,0.0233
1-3 avenue_summer_2022,1-3 avenue,2022,14219.0,237992.4,0.0597
1-3 avenue_summer_2023,1-3 avenue,2023,101233.0,237992.4,0.4254
1-3 avenue_summer_2024,1-3 avenue,2024,8056.0,237992.4,0.0338
1-3 avenue_summer_2025,1-3 avenue,2025,115547.0,237992.4,0.4855
1-3 place_summer_2020,1-3 place,2020,1016.7,974.8,1.043
1-4 avenue_summer_2007,1-4 avenue,2007,52895.3,9501.1,5.5673
1-4 avenue_summer_2013,1-4 avenue,2013,12420.0,9501.1,1.3072
1-4 avenue_summer_2017,1-4 avenue,2017,53527.8,9501.1,5.6339
1-4 avenue_summer_2024,1-4 avenue,2024,1804.0,9501.1,0.1899
1-5 avenue_summer_2007,1-5 avenue,2007,1846354.1,185254.8,9.9666
1-5 avenue_summer_2008,1-5 avenue,2008,38148.8,185254.8,0.2059
1-5 avenue_summer_2013,1-5 avenue,2013,10076.0,185254.8,0.0544
1-5 avenue_summer_2016,1-5 avenue,2016,99302.4,185254.8,0.536
1-5 avenue_summer_2017,1-5 avenue,2017,166493.6,185254.8,0.8987
1-5 avenue_summer_2018,1-5 avenue,2018,85119.4,185254.8,0.4595
1-5 avenue_summer_2019,1-5 avenue,2019,168240.7,185254.8,0.9082
1-5 avenue_summer_2020,1-5 avenue,2020,819501.9,185254.8,4.4236
1-5 avenue_summer_2021,1-5 avenue,2021,167.0,185254.8,0.0009
1-5 avenue_summer_2022,1-5 avenue,2022,7748.0,185254.8,0.0418
1-5 avenue_summer_2023,1-5 avenue,2023,18116.0,185254.8,0.0978
1-5 avenue_summer_2024,1-5 avenue,2024,37557.0,185254.8,0.2027
1-5 avenue_summer_2025,1-5 avenue,2025,34861.0,185254.8,0.1882
1-5 avenue_summer_2026,1-5 avenue,2026,37259.0,185254.8,0.2011
1-6 avenue_summer_2006,1-6 avenue,2006,39446.3,137845.8,0.2862
1-6 avenue_summer_2011,1-6 avenue,2011,9644.5,137845.8,0.07
1-6 avenue_summer_2012,1-6 avenue,2012,1420.0,137845.8,0.0103
1-6 avenue_summer_2015,1-6 avenue,2015,75747.8,137845.8,0.5495
1-6 avenue_summer_2017,1-6 avenue,2017,86055.2,137845.8,0.6243
