normalized_street_name_season,normalized_street_name,year,total_area,snowfall,snowfall_factor
1-1 avenue_2017,1-1 avenue,2017,253446.94307794556,18468678.742089894,72.87
1-1 avenue_2018,1-1 avenue,2018,253446.94307794556,20384737.631759167,80.43000000000002
1-1 avenue_2019,1-1 avenue,2019,253446.94307794556,12188263.492618404,48.09000000000001
1-1 avenue_2021,1-1 avenue,2021,253446.94307794556,21981453.373150215,86.72999999999999
1-1 avenue_2022,1-1 avenue,2022,253446.94307794556,12454382.782850245,49.14
1-1 avenue loop_2017,1-1 avenue loop,2017,3156.346366966666,217851.0262480393,69.02
1-1 avenue loop_2018,1-1 avenue loop,2018,3156.346366966666,254306.82678650427,80.57
1-1 avenue loop_2019,1-1 avenue loop,2019,3156.346366966666,146265.09064523532,46.34
1-1 avenue loop_2021,1-1 avenue loop,2021,3156.346366966666,267563.48152776435,84.77000000000002
1-1 avenue loop_2022,1-1 avenue loop,2022,3156.346366966666,150683.97555898866,47.74000000000001
1-1 drive_2017,1-1 drive,2017,1524.8307113399999,111114.4139353458,72.87
1-1 drive_2018,1-1 drive,2018,1524.8307113399999,122642.13411307622,80.43000000000002
1-1 drive_2019,1-1 drive,2019,1524.8307113399999,73329.10890834061,48.09000000000001
1-1 drive_2021,1-1 drive,2021,1524.8307113399999,132248.5675945182,86.73
1-1 drive_2022,1-1 drive,2022,1524.8307113399999,74930.1811552476,49.14
1-1 place_2017,1-1 place,2017,1922.9675988733334,132723.22367423744,69.01999999999998
1-1 place_2018,1-1 place,2018,1922.9675988733334,154933.49944122447,80.57000000000001
1-1 place_2019,1-1 place,2019,1922.9675988733334,89110.31853179025,46.33999999999999
1-1 place_2021,1-1 place,2021,1922.9675988733334,163009.96335649246,84.77
1-1 place_2022,1-1 place,2022,1922.9675988733334,91802.47317021295,47.74000000000001
1-10 avenue_2017,1-10 avenue,2017,118024.84205629554,8146074.598725517,69.02
1-10 avenue_2018,1-10 avenue,2018,118024.84205629554,9509261.524475731,80.57
1-10 avenue_2019,1-10 avenue,2019,118024.84205629554,5469271.180888736,46.34
1-10 avenue_2021,1-10 avenue,2021,118024.84205629554,10004965.861112176,84.77000000000002
1-10 avenue_2022,1-10 avenue,2022,118024.84205629554,5634505.95976755,47.74000000000001
1-102 street crossing_2017,1-102 street crossing,2017,3416.2212799666668,248940.04467117102,72.87
1-102 street crossing_2018,1-102 street crossing,2018,3416.2212799666668,274766.6775477191,80.43000000000002
1-102 street crossing_2019,1-102 street crossing,2019,3416.2212799666668,164286.081353597,48.089999999999996
1-102 street crossing_2021,1-102 street crossing,2021,3416.2212799666668,296288.87161150895,86.72999999999998
1-102 street crossing_2022,1-102 street crossing,2022,3416.2212799666668,167873.11369756202,49.14
1-11 avenue_2017,1-11 avenue,2017,86959.29433921668,6001930.495292734,69.02
1-11 avenue_2018,1-11 avenue,2018,86959.29433921668,7006310.344910687,80.57
1-11 avenue_2019,1-11 avenue,2019,86959.29433921668,4029693.6996793,46.33999999999999
1-11 avenue_2021,1-11 avenue,2021,86959.29433921668,7371539.3811353985,84.77000000000001
1-11 avenue_2022,1-11 avenue,2022,86959.29433921668,4151436.711754205,47.74000000000001
1-12 avenue_2017,1-12 avenue,2017,111796.41411103222,7716188.501943444,69.02
1-12 avenue_2018,1-12 avenue,2018,111796.41411103222,9007437.084925866,80.57
1-12 avenue_2019,1-12 avenue,2019,111796.41411103222,5180645.829905233,46.34
1-12 avenue_2021,1-12 avenue,2021,111796.41411103222,9476982.024192203,84.77000000000001
1-12 avenue_2022,1-12 avenue,2022,111796.41411103222,5337160.80966068,47.74000000000001
1-14 street loop_2017,1-14 street loop,2017,3682.8139991677776,254187.82222256003,69.02000000000001
1-14 street loop_2018,1-14 street loop,2018,3682.8139991677776,296724.3239129478,80.56999999999998
1-14 street loop_2019,1-14 street loop,2019,3682.8139991677776,170661.6007214348,46.339999999999996
1-14 street loop_2021,1-14 street loop,2021,3682.8139991677776,312192.14270945254,84.77000000000001
1-14 street loop_2022,1-14 street loop,2022,3682.8139991677776,175817.54032026973,47.74000000000001
1-145 street bridge_2017,1-145 street bridge,2017,1126.1580658833332,85452.87403922732,75.88
1-145 street bridge_2018,1-145 street bridge,2018,1126.1580658833332,92862.99411273966,82.46000000000001
1-145 street bridge_2019,1-145 street bridge,2019,1126.1580658833332,56679.53545590816,50.330000000000005
1-145 street bridge_2021,1-145 street bridge,2021,1126.1580658833332,98223.50650634432,87.22
1-145 street bridge_2022,1-145 street bridge,2022,1126.1580658833332,56994.859714355494,50.61
1-145 street bridge ped and bike path_2017,1-145 street bridge ped and bike path,2017,2261.46185148,171599.72529030236,75.87999999999998
1-145 street bridge ped and bike path_2018,1-145 street bridge ped and bike path,2018,2261.46185148,186480.1442730408,82.46
1-145 street bridge ped and bike path_2019,1-145 street bridge ped and bike path,2019,2261.46185148,113819.37498498839,50.33
1-145 street bridge ped and bike path_2021,1-145 street bridge ped and bike path,2021,2261.46185148,197244.70268608557,87.21999999999998
1-145 street bridge ped and bike path_2022,1-145 street bridge ped and bike path,2022,2261.46185148,114452.5843034028,50.61
1-2 avenue_2017,1-2 avenue,2017,227016.26136605663,16542674.965744548,72.87
1-2 avenue_2018,1-2 avenue,2018,227016.26136605663,18258917.90167194,80.43000000000002
1-2 avenue_2019,1-2 avenue,2019,227016.26136605663,10917212.009093665,48.09
