latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.878735,-73.86914,32.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),temperature_2m_mean (°F),rain_sum (mm),precipitation_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (mp/h)
2001-01-01,3,16.6,0.00,0.00,0.00,0.0,9.0
2001-01-02,3,12.1,0.00,0.00,0.00,0.0,8.3
2001-01-03,3,11.4,0.00,0.00,0.00,0.0,6.9
2001-01-04,3,16.0,0.00,0.00,0.00,0.0,8.1
2001-01-05,73,21.2,0.00,4.30,3.01,8.0,7.7
2001-01-06,3,24.6,0.00,0.00,0.00,0.0,9.3
2001-01-07,3,24.5,0.00,0.00,0.00,0.0,6.9
2001-01-08,73,28.1,2.70,5.10,1.68,9.0,7.2
2001-01-09,73,27.6,0.30,0.90,0.42,3.0,11.6
2001-01-10,3,22.1,0.00,0.00,0.00,0.0,11.4
2001-01-11,3,25.8,0.00,0.00,0.00,0.0,8.7
2001-01-12,3,26.2,0.00,0.00,0.00,0.0,8.7
2001-01-13,3,24.2,0.00,0.00,0.00,0.0,7.4
2001-01-14,3,29.9,0.00,0.00,0.00,0.0,7.6
2001-01-15,53,33.7,4.70,4.70,0.00,11.0,6.8
2001-01-16,51,35.3,0.30,0.30,0.00,1.0,11.3
2001-01-17,3,29.9,0.00,0.00,0.00,0.0,9.8
2001-01-18,71,30.1,0.20,0.90,0.56,6.0,6.1
2001-01-19,61,33.4,19.30,19.30,0.00,18.0,6.9
2001-01-20,73,31.8,5.70,14.00,6.02,21.0,13.2
2001-01-21,75,23.0,0.10,11.20,7.84,11.0,15.1
2001-01-22,0,17.9,0.00,0.00,0.00,0.0,7.2
2001-01-23,1,23.1,0.00,0.00,0.00,0.0,7.4
2001-01-24,3,24.7,0.00,0.00,0.00,0.0,8.0
2001-01-25,71,27.9,0.00,0.00,0.07,0.0,10.8
2001-01-26,3,20.8,0.00,0.00,0.00,0.0,9.1
2001-01-27,71,28.8,0.10,0.50,0.42,3.0,12.1
2001-01-28,3,26.6,0.00,0.00,0.00,0.0,10.6
2001-01-29,3,26.7,0.00,0.00,0.00,0.0,6.7
2001-01-30,61,35.8,9.00,9.00,0.00,8.0,13.3
2001-01-31,2,36.7,0.00,0.00,0.00,0.0,15.2
2001-02-01,3,33.0,0.00,0.00,0.00,0.0,11.6
2001-02-02,53,33.7,1.80,1.80,0.00,6.0,14.5
